"river","totalDischarge","meanTemp","flowTime","shift"
"BUFFAM",0.02,17.69,"2024-06-26 10:42:10","day"
"BUFFAM",0.02,19.35,"2024-06-26 17:51:16","night"
"DICKEY",0.03,16.48,"2024-06-28 09:44:29","day"
"DICKEY",1.07,19.67,"2024-06-28 18:41:46","night"
"DRY UPPER",0.03,14.49,"2024-06-25 07:21:55","day"
"DRY UPPER",0.57,16.49,"2024-06-25 19:19:38","night"
"HARRIS",0.12,20.03,"2024-06-26 07:05:00","day"
"HARRIS",0.08,22.72,"2024-06-26 19:07:51","night"
"UNDERHILL",0.04,18.47,"2024-06-27 07:52:29","day"
"UNDERHILL",0.82,19.38,"2024-06-27 18:53:51","night"
