"habitat","position","substrate","shade","fishNotes","habitatExtra","substrateExtra","signal","lon","lat","trackedTime","shift","river","tagID","source","airTemp","cloud","precip","startTime","endTime","iso","streamNotes","isoTime","downstreamGPS","downstreamGain","upstreamGPS","upstreamGain"
"Run","Center",NA,"Night","","","Sand,Rock",NA,-72.4583791666654,42.3820544999993,"2024-08-13 04:25:00","day","BUFFAM",60,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Run","Center",NA,"Night","","","Sand,Boulder,Rock",NA,-72.4597879999988,42.3811873333326,"2024-08-13 04:31:00","day","BUFFAM",18,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Riffle","Center",NA,"Night","","","Rock,Boulder",NA,-72.4600048333321,42.3813568333326,"2024-08-13 04:32:00","day","BUFFAM",14,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Run","Center",NA,"Night","","Woody_debris","Boulder",NA,-72.4603348333321,42.3811819999993,"2024-08-13 04:34:00","day","HARRIS",20,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Riffle","Center",NA,"Night","","","Rock",NA,-72.4608813333321,42.3814971666659,"2024-08-13 04:41:00","day","AMETHYST",19,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Run","Center",NA,"Fully shaded","","","Sand,Rock",NA,-72.4586558333321,42.3821783333326,"2024-08-13 05:15:00","day","BUFFAM",60,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Run","Center",NA,"Fully shaded","","","Rock,Boulder",NA,-72.4597939999988,42.3812563333326,"2024-08-13 05:19:00","day","BUFFAM",18,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Riffle","Right",NA,"Fully shaded","","","Rock,Granule,Pebble,Sand",NA,-72.4597579999988,42.3812741666659,"2024-08-13 05:21:00","day","BUFFAM",14,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Riffle","Left",NA,"","","","Boulder,Rock",NA,-72.4603739999988,42.3812093333326,"2024-08-13 05:24:00","day","HARRIS",20,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Riffle","Center",NA,"Fully shaded","","","Rock",NA,-72.4608759999988,42.381587666666,"2024-08-13 05:29:00","day","AMETHYST",19,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Run","Center",NA,"Fully shaded","","","Rock,Sand,Boulder",NA,-72.4584544999988,42.3820953333326,"2024-08-13 06:07:00","day","BUFFAM",60,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Run","Right",NA,"Fully shaded","","","Sand,Rock",NA,-72.4599304999988,42.3811894999993,"2024-08-13 06:11:00","day","BUFFAM",18,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Riffle","Right",NA,"Fully shaded","","","Sand,Rock,Pebble",NA,-72.4601046666655,42.3811949999993,"2024-08-13 06:12:00","day","BUFFAM",14,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Run","Center",NA,"Fully shaded","","Woody_debris","Rock,Boulder",NA,-72.4603281666654,42.3811676666659,"2024-08-13 06:13:00","day","HARRIS",20,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Run","Center",NA,"Fully shaded","","","Rock,Sand,Boulder",NA,-72.4610829999988,42.3813284999993,"2024-08-13 06:17:00","day","AMETHYST",19,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
"Run","Center",NA,"Fully shaded","","","Rock,Sand",NA,-72.4583623333321,42.3821474999993,"2024-08-13 07:07:00","day","BUFFAM",60,"iPad",63,"Clear","No rain","04:16","09:26","BUFF202408130524EST HARR202408130510EST AMTH202408130516EST",NA,"05:10","Lat: 42.3808032 N Long: 72.4615415 W",80,"Lat: 42.3820586 N Long: 72.4585239 W",80
