"river","totalDischarge","meanTemp","flowTime","shift"
"BUFFAM",1.19,20.95,"2024-07-11 11:21:40","day"
"BUFFAM",0.04,21.07,"2024-07-11 12:00:06","day"
"BUFFAM",1.06,21.39,"2024-07-11 18:15:24","night"
"DICKEY",0.07,23.29,"2024-07-10 08:31:15","day"
"DICKEY",2.58,25.68,"2024-07-10 18:15:15","night"
"DRY UPPER",0,13.15,"2024-07-12 08:03:32","day"
"DRY UPPER",0.09,13.61,"2024-07-12 17:51:11","night"
"HARRIS",3.77,24.25,"2024-07-11 12:16:37","day"
"HARRIS",3.61,24.66,"2024-07-11 19:41:15","night"
"UNDERHILL",2.78,20.71,"2024-07-09 09:13:28","day"
"AMETHYST",5,22.09,NA,"day"
"AMETHYST",4.67,23.025,NA,"night"
