"river","totalDischarge","meanTemp","flowTime","shift"
"BUFFAM",1.49,12.93,"2024-06-11 09:32:26","day"
"BUFFAM",0.02,14.52,"2024-06-11 21:26:53","night"
"DICKEY",1.35,20.68,"2024-06-13 19:59:00","night"
"DRY UPPER",0.02,14.17,"2024-06-14 09:57:28","day"
"DRY UPPER",0.65,14.74,"2024-06-14 19:21:39","night"
"HARRIS",0.07,16.18,"2024-06-11 10:42:47","day"
"HARRIS",0.06,17.69,"2024-06-11 19:54:41","night"
"UNDERHILL",0.86,14.51,"2024-06-12 10:04:18","day"
"UNDERHILL",0.29,16.42,"2024-06-12 21:19:39","night"
"AMETHYST",1.56,14.555,NA,"day"
"AMETHYST",0.08,16.105,NA,"night"
