"river","totalDischarge","meanTemp","flowTime","shift"
"BUFFAM",0.54,19.48,"2024-07-31 04:44:54","day"
"BUFFAM",0.02,20.62,"2024-07-31 13:43:07","night"
"DICKEY",1.13,20.24,"2024-07-30 04:50:14","day"
"DICKEY",0.99,22.23,"2024-07-30 13:49:04","night"
"DRY UPPER",0.14,12.91,"2024-08-02 04:30:04","day"
"DRY UPPER",0.09,14.33,"2024-08-02 16:15:02","night"
"HARRIS",2.06,21.62,"2024-07-31 06:48:07","day"
"HARRIS",0.06,22.81,"2024-07-31 14:37:29","night"
"UNDERHILL",1.65,20.22,"2024-08-01 04:38:01","day"
"UNDERHILL",0.97,22.26,"2024-08-01 15:02:42","night"
