"habitat","position","substrate","shade","fishNotes","habitatExtra","substrateExtra","signal","lon","lat","trackedTime","shift","river","tagID","source"
"Pool","Right",NA,"Fully shaded","","Undercut_bank","Rock,Mud",NA,-72.5050055,42.6669775,"2024-06-30 08:35:00","day","DRY UPPER",25,"iPad"
"Pool","Left",NA,"Mostly shaded","","Woody_debris","Rock",NA,-72.5049076666667,42.6669065,"2024-06-30 08:39:00","day","DRY UPPER",54,"iPad"
"Pool","Center",NA,"Mostly shaded","","","Rock",NA,-72.5048548333333,42.6667661666667,"2024-06-30 08:41:00","day","DRY UPPER",48,"iPad"
"Pool","Right",NA,"Mostly shaded","","Root_bundle,Woody_debris","Mud",NA,-72.504089,42.666038,"2024-06-30 08:47:00","day","DRY UPPER",42,"iPad"
"Pool","Right",NA,"Mostly shaded","","Root_bundle,Woody_debris","Mud",NA,-72.5040215,42.6661161666667,"2024-06-30 08:48:00","day","DRY UPPER",49,"iPad"
"Pool","Center",NA,"Mostly shaded","","Woody_debris,Root_bundle","Rock",NA,-72.5043978333333,42.6676705,"2024-06-30 13:37:00","night","DRY UPPER",22,"iPad"
"Pool","Right",NA,"","","Woody_debris","Rock,Mud",NA,-72.50461,42.6676118333333,"2024-06-30 13:38:00","night","DRY UPPER",55,"iPad"
"Pool","Right",NA,"Fully shaded","","Woody_debris","Rock",NA,-72.5046576666667,42.6675878333333,"2024-06-30 13:42:00","night","DRY UPPER",16,"iPad"
"Pool","Right",NA,"Mostly shaded","","Woody_debris,Undercut_bank","Rock,Mud",NA,-72.505014,42.6669726666667,"2024-06-30 13:47:00","night","DRY UPPER",21,"iPad"
"Pool","Right",NA,"Mostly shaded","","Undercut_bank,Woody_debris","Rock,Mud",NA,-72.505011,42.6670088333333,"2024-06-30 13:47:00","night","DRY UPPER",24,"iPad"
"Pool","Right",NA,"Mostly shaded","","Woody_debris,Undercut_bank","Rock,Mud",NA,-72.5050018333333,42.6670046666667,"2024-06-30 13:48:00","night","DRY UPPER",25,"iPad"
"Pool","Left",NA,"Mostly shaded","","Woody_debris,Undercut_bank","Rock",NA,-72.5048673333333,42.6668691666667,"2024-06-30 13:50:00","night","DRY UPPER",54,"iPad"
"Pool","Center",NA,"Mostly shaded","","Woody_debris","Rock",NA,-72.5046865,42.6667878333333,"2024-06-30 13:54:00","night","DRY UPPER",48,"iPad"
"Pool","Right",NA,"Mostly shaded","","Woody_debris","Rock",NA,-72.5039856666667,42.6661408333333,"2024-06-30 13:59:00","night","DRY UPPER",42,"iPad"
"Pool","Right",NA,"Mostly shaded","","Woody_debris,Root_bundle","Rock",NA,-72.5040121666667,42.6662288333333,"2024-06-30 14:00:00","night","DRY UPPER",49,"iPad"
"Pool","Left",NA,"Mostly shaded","","Root_bundle,Undercut_bank","Sand",NA,-72.5044443333334,42.6677088333333,"2024-06-30 15:15:00","night","DRY UPPER",22,"iPad"
"Pool","Right",NA,"Mostly shaded","","Woody_debris","Sand",NA,-72.5046416666667,42.667621,"2024-06-30 15:20:00","night","DRY UPPER",16,"iPad"
"Pool","Right",NA,"Mostly shaded","","Woody_debris","Sand",NA,-72.5045515,42.6675786666667,"2024-06-30 15:23:00","night","DRY UPPER",55,"iPad"
"Pool","Right",NA,"Mostly shaded","","Undercut_bank","Rock",NA,-72.5050736666667,42.666971,"2024-06-30 15:28:00","night","DRY UPPER",21,"iPad"
"Pool","Right",NA,"Mostly shaded","","Undercut_bank","Rock",NA,-72.5050713333333,42.6669681666667,"2024-06-30 15:30:00","night","DRY UPPER",24,"iPad"
"Pool","Right",NA,"Mostly shaded","","Undercut_bank","Rock",NA,-72.5050696666667,42.6669546666667,"2024-06-30 15:31:00","night","DRY UPPER",25,"iPad"
