"river","totalDischarge","meanTemp","flowTime","shift"
"BUFFAM",0.02,15.11,"2024-07-02 04:11:20","day"
"BUFFAM",0.01,17.71,"2024-07-02 17:28:34","night"
"DICKEY",1.77,18.53,"2024-07-01 04:39:46","day"
"DICKEY",1.34,20.74,"2024-07-01 18:42:29","night"
"DRY UPPER",0.33,14.18,"2024-06-30 05:23:29","day"
"DRY UPPER",0.01,14.17,"2024-06-30 14:19:58","night"
"HARRIS",0.05,18.05,"2024-07-02 05:19:35","day"
"HARRIS",0.04,21.13,"2024-07-02 16:38:08","night"
"UNDERHILL",0.69,16.24,"2024-07-03 04:49:36","day"
