"trackedTime_EST","river","shift","tagID","power","habitat","habitatExtra","position","substrate","substrateExtra","shade","lon","lat","fishNotes","source"
"2024-06-30 04:39:00","DRY UPPER","day",22,NA,"Pool","Root_bundle","Left",NA,"Rock,Mud","Night",-72.5045681666667,42.6676876666667,"","iPad"
"2024-06-30 04:42:00","DRY UPPER","day",16,NA,"Pool","Woody_debris","Right",NA,"Mud","Fully shaded",-72.5044825,42.6676038333333,"","iPad"
"2024-06-30 04:43:00","DRY UPPER","day",55,NA,"Pool","Woody_debris","Right",NA,"Mud","Fully shaded",-72.5045288333333,42.667623,"","iPad"
"2024-06-30 04:50:00","DRY UPPER","day",21,NA,"Pool","Woody_debris,Undercut_bank","Right",NA,"Mud","Mostly shaded",-72.50514,42.6669843333333,"","iPad"
"2024-06-30 04:51:00","DRY UPPER","day",25,NA,"Pool","Undercut_bank,Woody_debris","Right",NA,"Mud","Fully shaded",-72.5050863333333,42.6669901666667,"","iPad"
"2024-06-30 04:51:00","DRY UPPER","day",24,NA,"Pool","Undercut_bank,Woody_debris","Right",NA,"Mud","Fully shaded",-72.5050785,42.6670203333333,"","iPad"
"2024-06-30 04:53:00","DRY UPPER","day",54,NA,"Pool","Root_bundle,Woody_debris","Left",NA,"Mud","Mostly shaded",-72.5048498333333,42.6669268333333,"","iPad"
"2024-06-30 04:55:00","DRY UPPER","day",48,NA,"Pool","","Center",NA,"Rock,Sand","Mostly shaded",-72.5047925,42.6667996666667,"","iPad"
"2024-06-30 05:00:00","DRY UPPER","day",42,NA,"Pool","Woody_debris","Right",NA,"Mud,Rock","Mostly shaded",-72.5040745,42.6659865,"","iPad"
"2024-06-30 05:06:00","DRY UPPER","day",49,NA,"Pool","Woody_debris","Right",NA,"Mud","Fully shaded",-72.5040303333333,42.6659646666667,"","iPad"
"2024-06-30 05:52:00","DRY UPPER","day",53,81,"","","",NA,"","",-72.5036348333333,42.6649073333333,"Went super far down following the signal then lost it and couldn’t find it again.","iPad"
"2024-06-30 06:00:00","DRY UPPER","day",42,NA,"Pool","Woody_debris","Right",NA,"Mud","Mostly shaded",-72.5041096666667,42.6661631666667,"","iPad"
"2024-06-30 06:02:00","DRY UPPER","day",49,NA,"Pool","Woody_debris","Right",NA,"Mud","Mostly shaded",-72.5040523333333,42.6662451666667,"","iPad"
"2024-06-30 06:09:00","DRY UPPER","day",48,NA,"Pool","Woody_debris","Center",NA,"Rock","Fully shaded",-72.504946,42.6668315,"","iPad"
"2024-06-30 06:12:00","DRY UPPER","day",54,NA,"Pool","Woody_debris","Left",NA,"Mud","Fully shaded",-72.504922,42.6670288333333,"","iPad"
"2024-06-30 06:16:00","DRY UPPER","day",21,NA,"Run","Undercut_bank,Root_bundle","Right",NA,"Rock,Mud","Fully shaded",-72.5050953333333,42.6670383333333,"","iPad"
"2024-06-30 06:17:00","DRY UPPER","day",24,NA,"Run","Root_bundle,Undercut_bank","Right",NA,"Rock,Mud","Fully shaded",-72.5051066666667,42.6670223333333,"","iPad"
"2024-06-30 06:26:00","DRY UPPER","day",25,NA,"Run","Root_bundle,Undercut_bank","Right",NA,"Rock,Mud","",-72.505156,42.6670555,"","iPad"
"2024-06-30 06:30:00","DRY UPPER","day",55,NA,"Pool","Woody_debris","Right",NA,"Mud,Pebble","Fully shaded",-72.5045745,42.6676938333333,"","iPad"
"2024-06-30 06:32:00","DRY UPPER","day",16,NA,"Pool","Woody_debris","Right",NA,"Mud","Fully shaded",-72.504577,42.667724,"","iPad"
"2024-06-30 06:34:00","DRY UPPER","day",22,NA,"Pool","Woody_debris,Undercut_bank","Left",NA,"Mud,Rock","Mostly shaded",-72.5043035,42.6676451666667,"","iPad"
"2024-06-30 07:10:00","DRY UPPER","day",22,NA,"Pool","Woody_debris,Root_bundle","Left",NA,"","Mostly shaded",-72.5044266666667,42.667684,"","iPad"
"2024-06-30 07:14:00","DRY UPPER","day",55,NA,"Pool","Woody_debris","Right",NA,"Mud","Mostly shaded",-72.5044401666667,42.6676998333333,"","iPad"
"2024-06-30 07:15:00","DRY UPPER","day",16,NA,"Pool","Woody_debris","Right",NA,"Mud","Mostly shaded",-72.50446,42.6677008333333,"","iPad"
"2024-06-30 07:20:00","DRY UPPER","day",25,NA,"Pool","Undercut_bank,Woody_debris","Right",NA,"Rock","Mostly shaded",-72.5049838333333,42.6670191666667,"","iPad"
"2024-06-30 07:25:00","DRY UPPER","day",24,NA,"Pool","Undercut_bank,Woody_debris","Right",NA,"Rock","Mostly shaded",-72.5050235,42.6670005,"","iPad"
"2024-06-30 07:26:00","DRY UPPER","day",21,NA,"Pool","Undercut_bank,Woody_debris","Right",NA,"Rock","Mostly shaded",-72.5049975,42.6669891666667,"","iPad"
"2024-06-30 07:36:00","DRY UPPER","day",54,NA,"Pool","Root_bundle,Woody_debris","Left",NA,"Mud","Fully shaded",-72.5047735,42.6669711666667,"","iPad"
"2024-06-30 07:39:00","DRY UPPER","day",48,NA,"Pool","Woody_debris","Center",NA,"Mud","Fully shaded",-72.5047608333333,42.666759,"","iPad"
"2024-06-30 07:45:00","DRY UPPER","day",49,NA,"Pool","Root_bundle,Woody_debris","Right",NA,"Mud","Mostly shaded",-72.5039823333333,42.665974,"","iPad"
"2024-06-30 07:46:00","DRY UPPER","day",42,NA,"Pool","Woody_debris,Root_bundle","Right",NA,"Mud","Mostly shaded",-72.5038243333333,42.666128,"","iPad"
"2024-06-30 08:18:00","DRY UPPER","day",22,NA,"Pool","Woody_debris","Left",NA,"Mud","",-72.5043713333333,42.6677071666667,"","iPad"
"2024-06-30 08:21:00","DRY UPPER","day",16,NA,"Pool","Woody_debris","Right",NA,"Mud","Fully shaded",-72.5045206666667,42.667576,"","iPad"
"2024-06-30 08:29:00","DRY UPPER","day",55,NA,"Run","Woody_debris","Right",NA,"Mud","Mostly shaded",-72.5044896666667,42.667664,"","iPad"
"2024-06-30 08:34:00","DRY UPPER","day",24,NA,"Pool","Undercut_bank","Right",NA,"Mud,Rock","Fully shaded",-72.5051303333333,42.6669396666667,"","iPad"
"2024-06-30 08:34:00","DRY UPPER","day",21,NA,"Pool","Undercut_bank","Right",NA,"Rock","Fully shaded",-72.5052101666667,42.6669066666667,"","iPad"
"2024-06-30 08:35:00","DRY UPPER","day",25,NA,"Pool","Undercut_bank","Right",NA,"Rock,Mud","Fully shaded",-72.5050055,42.6669775,"","iPad"
"2024-06-30 08:39:00","DRY UPPER","day",54,NA,"Pool","Woody_debris","Left",NA,"Rock","Mostly shaded",-72.5049076666667,42.6669065,"","iPad"
"2024-06-30 08:41:00","DRY UPPER","day",48,NA,"Pool","","Center",NA,"Rock","Mostly shaded",-72.5048548333333,42.6667661666667,"","iPad"
"2024-06-30 08:47:00","DRY UPPER","day",42,NA,"Pool","Root_bundle,Woody_debris","Right",NA,"Mud","Mostly shaded",-72.504089,42.666038,"","iPad"
"2024-06-30 08:48:00","DRY UPPER","day",49,NA,"Pool","Root_bundle,Woody_debris","Right",NA,"Mud","Mostly shaded",-72.5040215,42.6661161666667,"","iPad"
"2024-06-30 13:37:00","DRY UPPER","night",22,NA,"Pool","Woody_debris,Root_bundle","Center",NA,"Rock","Mostly shaded",-72.5043978333333,42.6676705,"","iPad"
"2024-06-30 13:38:00","DRY UPPER","night",55,NA,"Pool","Woody_debris","Right",NA,"Rock,Mud","",-72.50461,42.6676118333333,"","iPad"
"2024-06-30 13:42:00","DRY UPPER","night",16,NA,"Pool","Woody_debris","Right",NA,"Rock","Fully shaded",-72.5046576666667,42.6675878333333,"","iPad"
"2024-06-30 13:47:00","DRY UPPER","night",21,NA,"Pool","Woody_debris,Undercut_bank","Right",NA,"Rock,Mud","Mostly shaded",-72.505014,42.6669726666667,"","iPad"
"2024-06-30 13:47:00","DRY UPPER","night",24,NA,"Pool","Undercut_bank,Woody_debris","Right",NA,"Rock,Mud","Mostly shaded",-72.505011,42.6670088333333,"","iPad"
"2024-06-30 13:48:00","DRY UPPER","night",25,NA,"Pool","Woody_debris,Undercut_bank","Right",NA,"Rock,Mud","Mostly shaded",-72.5050018333333,42.6670046666667,"","iPad"
"2024-06-30 13:50:00","DRY UPPER","night",54,NA,"Pool","Woody_debris,Undercut_bank","Left",NA,"Rock","Mostly shaded",-72.5048673333333,42.6668691666667,"","iPad"
"2024-06-30 13:54:00","DRY UPPER","night",48,NA,"Pool","Woody_debris","Center",NA,"Rock","Mostly shaded",-72.5046865,42.6667878333333,"","iPad"
"2024-06-30 13:59:00","DRY UPPER","night",42,NA,"Pool","Woody_debris","Right",NA,"Rock","Mostly shaded",-72.5039856666667,42.6661408333333,"","iPad"
"2024-06-30 14:00:00","DRY UPPER","night",49,NA,"Pool","Woody_debris,Root_bundle","Right",NA,"Rock","Mostly shaded",-72.5040121666667,42.6662288333333,"","iPad"
"2024-06-30 15:15:00","DRY UPPER","night",22,NA,"Pool","Root_bundle,Undercut_bank","Left",NA,"Sand","Mostly shaded",-72.5044443333334,42.6677088333333,"","iPad"
"2024-06-30 15:20:00","DRY UPPER","night",16,NA,"Pool","Woody_debris","Right",NA,"Sand","Mostly shaded",-72.5046416666667,42.667621,"","iPad"
"2024-06-30 15:23:00","DRY UPPER","night",55,NA,"Pool","Woody_debris","Right",NA,"Sand","Mostly shaded",-72.5045515,42.6675786666667,"","iPad"
"2024-06-30 15:28:00","DRY UPPER","night",21,NA,"Pool","Undercut_bank","Right",NA,"Rock","Mostly shaded",-72.5050736666667,42.666971,"","iPad"
"2024-06-30 15:30:00","DRY UPPER","night",24,NA,"Pool","Undercut_bank","Right",NA,"Rock","Mostly shaded",-72.5050713333333,42.6669681666667,"","iPad"
"2024-06-30 15:31:00","DRY UPPER","night",25,NA,"Pool","Undercut_bank","Right",NA,"Rock","Mostly shaded",-72.5050696666667,42.6669546666667,"","iPad"
"2024-06-30 16:50:00","DRY UPPER","night",54,NA,"Pool","Root_bundle","Left",NA,"Rock","Mostly shaded",-72.5049348333333,42.667006,"","iPad"
"2024-06-30 16:53:00","DRY UPPER","night",48,NA,"Run","Woody_debris","",NA,"Rock","Mostly shaded",-72.5050145,42.6668085,"","iPad"
"2024-06-30 17:01:00","DRY UPPER","night",49,NA,"Pool","Root_bundle","Right",NA,"Sand","Mostly shaded",-72.5039955,42.66612,"","iPad"
"2024-06-30 17:03:00","DRY UPPER","night",42,NA,"Pool","Woody_debris","Right",NA,"Rock","Mostly shaded",-72.503954,42.666148,"","iPad"
"2024-06-30 18:09:00","DRY UPPER","night",53,NA,"","","",NA,"","",-72.5036148333333,42.6640918333333,"Up in woods. We were able to get as gal of 175 -195 by a log.","iPad"
"2024-06-30 18:29:00","DRY UPPER","night",49,NA,"Pool","Root_bundle","Right",NA,"Rock,Sand","Mostly shaded",-72.5040316666667,42.6659308333333,"","iPad"
"2024-06-30 18:30:00","DRY UPPER","night",42,NA,"Pool","Root_bundle","Right",NA,"Sand,Rock","Mostly shaded",-72.5039628333333,42.6659818333333,"","iPad"
"2024-06-30 18:37:00","DRY UPPER","night",48,NA,"Pool","Woody_debris","Center",NA,"Mud,Rock","Mostly shaded",-72.5049133333333,42.666711,"","iPad"
"2024-06-30 18:41:00","DRY UPPER","night",54,NA,"Pool","","Left",NA,"Rock,Mud","Mostly shaded",-72.5049435,42.6671893333333,"","iPad"
"2024-06-30 18:45:00","DRY UPPER","night",25,NA,"Pool","Undercut_bank","Right",NA,"Sand,Rock","Mostly shaded",-72.5050505,42.6670051666667,"","iPad"
"2024-06-30 18:49:00","DRY UPPER","night",24,NA,"Pool","","Right",NA,"Mud","Mostly shaded",-72.5050775,42.6671078333333,"","iPad"
"2024-06-30 18:55:00","DRY UPPER","night",16,NA,"Pool","Woody_debris","Right",NA,"Mud","Mostly shaded",-72.5044493333333,42.6676568333333,"","iPad"
"2024-06-30 18:56:00","DRY UPPER","night",55,NA,"Pool","Woody_debris","",NA,"Mud","Mostly shaded",-72.5043958333333,42.667678,"","iPad"
"2024-06-30 18:57:00","DRY UPPER","night",22,NA,"Pool","Woody_debris","Center",NA,"Mud,Rock","Mostly shaded",-72.50442,42.6676191666667,"","iPad"
"2024-07-01 03:51:00","DICKEY","day",31,NA,"Pool","","Left",NA,"Pebble","Night",-72.3709341666667,42.4439198333333,"","iPad"
"2024-07-01 03:56:00","DICKEY","day",28,NA,"Pool","","Right",NA,"Mud,Rock","Night",-72.370719,42.443675,"","iPad"
"2024-07-01 04:10:00","DICKEY","day",32,NA,"Pool","","Center",NA,"Mud,Rock","",-72.370652,42.4437218333333,"","iPad"
"2024-07-01 04:13:00","DICKEY","day",26,NA,"Run","","Center",NA,"Rock","",-72.3703705,42.4435966666667,"","iPad"
"2024-07-01 04:15:00","DICKEY","day",37,NA,"Run","","Center",NA,"Granule","Night",-72.3702838333333,42.443543,"","iPad"
"2024-07-01 04:49:00","DICKEY","day",38,NA,"Riffle","","Right",NA,"Rock","Fully shaded",-72.3681976666667,42.4417821666667,"","iPad"
"2024-07-01 05:10:00","DICKEY","day",31,NA,"Pool","","Center",NA,"Rock,Pebble","Fully shaded",-72.3708855,42.444028,"","iPad"
"2024-07-01 05:14:00","DICKEY","day",28,NA,"","","",NA,"","",-72.3706016666667,42.4436886666667,"Dead (tried to scare it to confirm life and it didnt move position)","iPad"
"2024-07-01 05:19:00","DICKEY","day",32,NA,"Run","","Left",NA,"Rock","Fully shaded",-72.3707223333333,42.4437223333333,"","iPad"
"2024-07-01 05:22:00","DICKEY","day",26,NA,"Run","","Center",NA,"Rock","Fully shaded",-72.3703388333333,42.4436346666667,"","iPad"
