"river","totalDischarge","meanTemp","flowTime","shift"
"BUFFAM",1.22,15.46,"2024-08-13 04:57:46","day"
"BUFFAM",0.95,17.9,"2024-08-13 18:18:44","night"
"DICKEY",1.69,18.44,"2024-08-15 05:32:32","day"
"DICKEY",1.4,21.56,"2024-08-15 15:12:35","night"
"DRY UPPER",0.15,16.67,"2024-08-16 05:22:45","day"
"DRY UPPER",0.08,18.3,"2024-08-16 14:38:49","night"
"HARRIS",3.16,18.42,"2024-08-13 06:51:21","day"
"HARRIS",4,20.97,"2024-08-13 17:46:28","night"
"UNDERHILL",1.47,17.03,"2024-08-14 04:47:00","day"
"UNDERHILL",0.96,19.66,"2024-08-14 16:57:14","night"
"AMETHYST",4.38,16.94,NA,"day"
"AMETHYST",4.95,19.435,NA,"night"
