"trackedTime_EST","river","shift","tagID","power","habitat","habitatExtra","position","substrate","substrateExtra","shade","lon","lat","fishNotes","source","totalDischarge","flowTime_EST"
"2024-08-27 09:41:00","UNDERHILL","day",45,NA,"Pool",NA,"Right",NA,"Sand,Rock","Fully shaded",-72.3273013333333,42.445348,"Unsuccessful at finding shed tag","iPad",0.03,"2024-08-27 10:16:23"
"2024-08-27 10:32:00","UNDERHILL","day",44,NA,"Pool",NA,"Center",NA,"Sand,Rock","Mostly shaded",-72.3280481666667,42.4449221666667,"Unsuccessful at finding shed tag","iPad",0.03,"2024-08-27 10:16:23"
"2024-08-27 12:19:00","UNDERHILL","day",35,NA,"Pool",NA,"Center",NA,"Boulder,Rock,Granule,Pebble","Mostly shaded",-72.329287,42.4435883333333,"Unsuccessful at finding shed tag. It is most likely located in a hole under this rock","iPad",0.03,"2024-08-27 10:16:23"
