"river","totalDischarge","meanTemp","flowTime","shift"
"BUFFAM",0.76,19.56,"2024-07-25 12:08:40","day"
"BUFFAM",0.02,19.66,"2024-07-25 18:12:05","night"
"DICKEY",1.79,21.5,"2024-07-24 10:50:19","day"
"DICKEY",1.65,22.01,"2024-07-24 18:21:54","night"
"DRY UPPER",0.13,12.91,"2024-07-23 08:27:20","day"
"DRY UPPER",0.16,14.02,"2024-07-23 18:09:40","night"
"HARRIS",0.11,22.5,"2024-07-25 19:16:54","night"
"UNDERHILL",0.02,17.4,"2024-07-26 08:12:57","day"
"UNDERHILL",0.02,19.17,"2024-07-26 18:03:17","night"
