"river","totalDischarge","meanTemp","flowTime","shift"
"BUFFAM",0.01,19.32,"2024-06-18 16:48:45","day"
"BUFFAM",0.02,18.36,"2024-06-19 02:07:27","night"
"DICKEY",0.03,19.71,"2024-06-17 12:35:22","day"
"DICKEY",1.49,19.17,"2024-06-18 02:35:29","night"
"DRY UPPER",0.02,17.41,"2024-06-19 12:36:08","day"
"DRY UPPER",0.3,12.98,"2024-06-20 00:32:19","night"
"HARRIS",0.03,20.28,"2024-06-18 14:57:52","day"
"HARRIS",0.04,21.92,"2024-06-19 01:13:24","night"
"UNDERHILL",0.02,20.79,"2024-06-20 14:32:38","day"
"UNDERHILL",0.04,20.33,"2024-06-21 00:36:10","night"
