"trackedTime_EST","river","shift","tagID","power","lon","lat","source"
2024-06-30 04:16:00,"AMETHYST","day",15,16,NA,NA,"receiver"
2024-06-30 04:26:11,"DRY UPPER","day",55,109,NA,NA,"receiver"
2024-06-30 04:26:16,"DRY UPPER","day",22,114,NA,NA,"receiver"
2024-06-30 04:26:27,"DRY UPPER","day",16,106,NA,NA,"receiver"
2024-06-30 04:26:36,"DRY UPPER","day",22,123,NA,NA,"receiver"
2024-06-30 04:26:51,"DRY UPPER","day",55,105,NA,NA,"receiver"
2024-06-30 04:26:55,"DRY UPPER","day",22,127,NA,NA,"receiver"
2024-06-30 04:27:11,"DRY UPPER","day",55,118,NA,NA,"receiver"
2024-06-30 04:27:15,"DRY UPPER","day",22,187,NA,NA,"receiver"
2024-06-30 04:27:35,"DRY UPPER","day",22,187,NA,NA,"receiver"
2024-06-30 04:27:47,"DRY UPPER","day",16,106,NA,NA,"receiver"
2024-06-30 04:27:50,"DRY UPPER","day",55,118,NA,NA,"receiver"
2024-06-30 04:27:55,"DRY UPPER","day",22,176,NA,NA,"receiver"
2024-06-30 04:28:15,"DRY UPPER","day",22,110,NA,NA,"receiver"
2024-06-30 04:28:27,"DRY UPPER","day",16,109,NA,NA,"receiver"
2024-06-30 04:28:30,"DRY UPPER","day",55,121,NA,NA,"receiver"
2024-06-30 04:28:35,"DRY UPPER","day",22,160,NA,NA,"receiver"
2024-06-30 04:28:47,"DRY UPPER","day",16,118,NA,NA,"receiver"
2024-06-30 04:28:50,"DRY UPPER","day",55,123,NA,NA,"receiver"
2024-06-30 04:28:56,"DRY UPPER","day",22,181,NA,NA,"receiver"
2024-06-30 04:29:16,"DRY UPPER","day",22,167,NA,NA,"receiver"
2024-06-30 04:29:26,"DRY UPPER","day",16,106,NA,NA,"receiver"
2024-06-30 04:29:31,"DRY UPPER","day",55,126,NA,NA,"receiver"
2024-06-30 04:29:36,"DRY UPPER","day",22,161,NA,NA,"receiver"
2024-06-30 04:29:46,"DRY UPPER","day",16,116,NA,NA,"receiver"
2024-06-30 04:29:51,"DRY UPPER","day",55,126,NA,NA,"receiver"
2024-06-30 04:29:56,"DRY UPPER","day",22,155,NA,NA,"receiver"
2024-06-30 04:30:16,"DRY UPPER","day",22,170,NA,NA,"receiver"
2024-06-30 04:30:36,"DRY UPPER","day",22,168,NA,NA,"receiver"
2024-06-30 04:30:46,"DRY UPPER","day",16,106,NA,NA,"receiver"
2024-06-30 04:30:51,"DRY UPPER","day",55,103,NA,NA,"receiver"
2024-06-30 04:30:56,"DRY UPPER","day",22,157,NA,NA,"receiver"
2024-06-30 04:31:11,"DRY UPPER","day",55,120,NA,NA,"receiver"
2024-06-30 04:31:16,"DRY UPPER","day",22,170,NA,NA,"receiver"
2024-06-30 04:31:36,"DRY UPPER","day",22,171,NA,NA,"receiver"
2024-06-30 04:31:55,"DRY UPPER","day",22,166,NA,NA,"receiver"
2024-06-30 04:32:11,"DRY UPPER","day",55,118,NA,NA,"receiver"
2024-06-30 04:32:15,"DRY UPPER","day",22,141,NA,NA,"receiver"
2024-06-30 04:32:30,"DRY UPPER","day",55,113,NA,NA,"receiver"
2024-06-30 04:32:35,"DRY UPPER","day",22,148,NA,NA,"receiver"
2024-06-30 04:32:56,"DRY UPPER","day",22,169,NA,NA,"receiver"
2024-06-30 04:33:10,"DRY UPPER","day",55,124,NA,NA,"receiver"
2024-06-30 04:33:15,"DRY UPPER","day",22,179,NA,NA,"receiver"
2024-06-30 04:33:30,"DRY UPPER","day",55,129,NA,NA,"receiver"
2024-06-30 04:33:34,"DRY UPPER","day",22,184,NA,NA,"receiver"
2024-06-30 04:33:47,"DRY UPPER","day",16,109,NA,NA,"receiver"
2024-06-30 04:33:50,"DRY UPPER","day",55,129,NA,NA,"receiver"
2024-06-30 04:33:55,"DRY UPPER","day",22,167,NA,NA,"receiver"
2024-06-30 04:34:10,"DRY UPPER","day",55,120,NA,NA,"receiver"
2024-06-30 04:34:15,"DRY UPPER","day",22,182,NA,NA,"receiver"
2024-06-30 04:34:31,"DRY UPPER","day",55,119,NA,NA,"receiver"
2024-06-30 04:34:35,"DRY UPPER","day",22,183,NA,NA,"receiver"
2024-06-30 04:34:51,"DRY UPPER","day",55,121,NA,NA,"receiver"
2024-06-30 04:34:55,"DRY UPPER","day",22,185,NA,NA,"receiver"
2024-06-30 04:35:11,"DRY UPPER","day",55,120,NA,NA,"receiver"
2024-06-30 04:35:15,"DRY UPPER","day",22,181,NA,NA,"receiver"
2024-06-30 04:35:31,"DRY UPPER","day",55,115,NA,NA,"receiver"
2024-06-30 04:35:35,"DRY UPPER","day",22,180,NA,NA,"receiver"
2024-06-30 04:35:51,"DRY UPPER","day",55,118,NA,NA,"receiver"
2024-06-30 04:35:55,"DRY UPPER","day",22,174,NA,NA,"receiver"
2024-06-30 04:36:11,"DRY UPPER","day",55,151,NA,NA,"receiver"
2024-06-30 04:36:31,"DRY UPPER","day",55,120,NA,NA,"receiver"
2024-06-30 04:36:35,"DRY UPPER","day",22,138,NA,NA,"receiver"
2024-06-30 04:36:51,"DRY UPPER","day",55,108,NA,NA,"receiver"
2024-06-30 04:36:54,"DRY UPPER","day",22,181,NA,NA,"receiver"
2024-06-30 04:37:11,"DRY UPPER","day",55,110,NA,NA,"receiver"
2024-06-30 04:37:14,"DRY UPPER","day",22,185,NA,NA,"receiver"
2024-06-30 04:37:31,"DRY UPPER","day",55,122,NA,NA,"receiver"
2024-06-30 04:37:35,"DRY UPPER","day",22,200,NA,NA,"receiver"
2024-06-30 04:37:47,"DRY UPPER","day",16,114,NA,NA,"receiver"
2024-06-30 04:37:50,"DRY UPPER","day",55,124,NA,NA,"receiver"
2024-06-30 04:37:55,"DRY UPPER","day",22,199,NA,NA,"receiver"
2024-06-30 04:38:10,"DRY UPPER","day",55,120,NA,NA,"receiver"
2024-06-30 04:38:15,"DRY UPPER","day",22,155,NA,NA,"receiver"
2024-06-30 04:38:31,"DRY UPPER","day",55,123,NA,NA,"receiver"
2024-06-30 04:38:35,"DRY UPPER","day",22,115,NA,NA,"receiver"
