"date","trackedTime_EST","river","shift","radioID","power","lon","lat","source"
2024-06-17,2024-06-17 12:25:35,"DICKEY","day",31,110,NA,NA,"receiver"
2024-06-17,2024-06-17 12:26:15,"DICKEY","day",31,108,NA,NA,"receiver"
2024-06-17,2024-06-17 12:26:19,"DICKEY","day",28,109,NA,NA,"receiver"
2024-06-17,2024-06-17 12:26:34,"DICKEY","day",46,105,NA,NA,"receiver"
2024-06-17,2024-06-17 12:26:35,"DICKEY","day",31,101,NA,NA,"receiver"
2024-06-17,2024-06-17 12:26:54,"DICKEY","day",31,120,NA,NA,"receiver"
2024-06-17,2024-06-17 12:27:07,"DICKEY","day",37,103,NA,NA,"receiver"
2024-06-17,2024-06-17 12:27:14,"DICKEY","day",31,107,NA,NA,"receiver"
2024-06-17,2024-06-17 12:27:19,"DICKEY","day",28,108,NA,NA,"receiver"
2024-06-17,2024-06-17 12:27:27,"DICKEY","day",37,120,NA,NA,"receiver"
2024-06-17,2024-06-17 12:27:34,"DICKEY","day",31,109,NA,NA,"receiver"
2024-06-17,2024-06-17 12:27:39,"DICKEY","day",28,122,NA,NA,"receiver"
2024-06-17,2024-06-17 12:27:50,"DICKEY","day",29,100,NA,NA,"receiver"
2024-06-17,2024-06-17 12:27:53,"DICKEY","day",46,103,NA,NA,"receiver"
2024-06-17,2024-06-17 12:27:54,"DICKEY","day",31,132,NA,NA,"receiver"
2024-06-17,2024-06-17 12:28:06,"DICKEY","day",37,103,NA,NA,"receiver"
2024-06-17,2024-06-17 12:28:14,"DICKEY","day",31,168,NA,NA,"receiver"
2024-06-17,2024-06-17 12:28:34,"DICKEY","day",31,126,NA,NA,"receiver"
2024-06-17,2024-06-17 12:28:47,"DICKEY","day",37,102,NA,NA,"receiver"
2024-06-17,2024-06-17 12:28:55,"DICKEY","day",31,162,NA,NA,"receiver"
2024-06-17,2024-06-17 12:29:15,"DICKEY","day",31,192,NA,NA,"receiver"
2024-06-17,2024-06-17 12:29:35,"DICKEY","day",31,180,NA,NA,"receiver"
2024-06-17,2024-06-17 12:29:54,"DICKEY","day",46,103,NA,NA,"receiver"
2024-06-17,2024-06-17 12:29:55,"DICKEY","day",31,156,NA,NA,"receiver"
2024-06-17,2024-06-17 12:30:15,"DICKEY","day",31,167,NA,NA,"receiver"
2024-06-17,2024-06-17 12:30:31,"DICKEY","day",29,97,NA,NA,"receiver"
2024-06-17,2024-06-17 12:30:35,"DICKEY","day",31,164,NA,NA,"receiver"
2024-06-17,2024-06-17 12:30:39,"DICKEY","day",28,109,NA,NA,"receiver"
2024-06-17,2024-06-17 12:30:54,"DICKEY","day",31,158,NA,NA,"receiver"
2024-06-17,2024-06-17 12:53:10,"DICKEY","day",29,129,NA,NA,"receiver"
2024-06-17,2024-06-17 12:53:14,"DICKEY","day",46,140,NA,NA,"receiver"
2024-06-17,2024-06-17 12:53:34,"DICKEY","day",46,115,NA,NA,"receiver"
2024-06-17,2024-06-17 12:53:51,"DICKEY","day",29,114,NA,NA,"receiver"
2024-06-17,2024-06-17 12:53:54,"DICKEY","day",46,197,NA,NA,"receiver"
2024-06-17,2024-06-17 12:54:11,"DICKEY","day",29,104,NA,NA,"receiver"
2024-06-17,2024-06-17 12:54:14,"DICKEY","day",46,147,NA,NA,"receiver"
2024-06-17,2024-06-17 12:54:15,"DICKEY","day",31,105,NA,NA,"receiver"
2024-06-17,2024-06-17 12:54:31,"DICKEY","day",29,151,NA,NA,"receiver"
2024-06-17,2024-06-17 12:54:34,"DICKEY","day",46,149,NA,NA,"receiver"
2024-06-17,2024-06-17 12:54:35,"DICKEY","day",31,101,NA,NA,"receiver"
2024-06-17,2024-06-17 12:54:51,"DICKEY","day",29,116,NA,NA,"receiver"
2024-06-17,2024-06-17 12:54:53,"DICKEY","day",46,134,NA,NA,"receiver"
2024-06-17,2024-06-17 12:55:11,"DICKEY","day",29,143,NA,NA,"receiver"
2024-06-17,2024-06-17 12:55:13,"DICKEY","day",46,148,NA,NA,"receiver"
2024-06-17,2024-06-17 12:55:30,"DICKEY","day",29,143,NA,NA,"receiver"
2024-06-17,2024-06-17 12:55:33,"DICKEY","day",46,147,NA,NA,"receiver"
2024-06-17,2024-06-17 12:55:50,"DICKEY","day",29,177,NA,NA,"receiver"
2024-06-17,2024-06-17 12:55:53,"DICKEY","day",46,109,NA,NA,"receiver"
2024-06-17,2024-06-17 12:56:11,"DICKEY","day",29,206,NA,NA,"receiver"
2024-06-17,2024-06-17 12:56:13,"DICKEY","day",46,109,NA,NA,"receiver"
2024-06-17,2024-06-17 12:56:30,"DICKEY","day",29,181,NA,NA,"receiver"
2024-06-17,2024-06-17 12:56:50,"DICKEY","day",29,179,NA,NA,"receiver"
2024-06-17,2024-06-17 12:57:10,"DICKEY","day",29,129,NA,NA,"receiver"
2024-06-17,2024-06-17 12:57:31,"DICKEY","day",29,114,NA,NA,"receiver"
2024-06-17,2024-06-17 12:57:51,"DICKEY","day",29,113,NA,NA,"receiver"
2024-06-17,2024-06-17 13:01:09,"DICKEY","day",26,103,NA,NA,"receiver"
2024-06-17,2024-06-17 13:01:29,"DICKEY","day",26,121,NA,NA,"receiver"
2024-06-17,2024-06-17 13:01:49,"DICKEY","day",26,171,NA,NA,"receiver"
2024-06-17,2024-06-17 13:02:09,"DICKEY","day",26,149,NA,NA,"receiver"
