"date","trackedTime_EST","river","shift","radioID","power","lon","lat","source"
2024-06-11,2024-06-11 07:00:21,"AMETHYST","day",14,109,NA,NA,"receiver"
2024-06-11,2024-06-11 07:00:26,"AMETHYST","day",56,121,NA,NA,"receiver"
2024-06-11,2024-06-11 07:00:28,"AMETHYST","day",59,145,NA,NA,"receiver"
2024-06-11,2024-06-11 07:00:37,"AMETHYST","day",60,130,NA,NA,"receiver"
2024-06-11,2024-06-11 07:00:46,"AMETHYST","day",56,129,NA,NA,"receiver"
2024-06-11,2024-06-11 07:00:49,"AMETHYST","day",59,165,NA,NA,"receiver"
2024-06-11,2024-06-11 07:00:57,"AMETHYST","day",60,135,NA,NA,"receiver"
2024-06-11,2024-06-11 07:01:02,"AMETHYST","day",19,108,NA,NA,"receiver"
2024-06-11,2024-06-11 07:01:06,"AMETHYST","day",56,119,NA,NA,"receiver"
2024-06-11,2024-06-11 07:01:08,"AMETHYST","day",20,108,NA,NA,"receiver"
2024-06-11,2024-06-11 07:01:08,"AMETHYST","day",59,168,NA,NA,"receiver"
2024-06-11,2024-06-11 07:01:17,"AMETHYST","day",60,139,NA,NA,"receiver"
2024-06-11,2024-06-11 07:01:21,"AMETHYST","day",14,116,NA,NA,"receiver"
2024-06-11,2024-06-11 07:01:23,"AMETHYST","day",19,125,NA,NA,"receiver"
2024-06-11,2024-06-11 07:01:28,"AMETHYST","day",20,109,NA,NA,"receiver"
2024-06-11,2024-06-11 07:01:28,"AMETHYST","day",59,173,NA,NA,"receiver"
2024-06-11,2024-06-11 07:01:37,"AMETHYST","day",60,126,NA,NA,"receiver"
2024-06-11,2024-06-11 07:01:41,"AMETHYST","day",14,111,NA,NA,"receiver"
2024-06-11,2024-06-11 07:01:42,"AMETHYST","day",19,116,NA,NA,"receiver"
2024-06-11,2024-06-11 07:01:46,"AMETHYST","day",56,123,NA,NA,"receiver"
2024-06-11,2024-06-11 07:01:49,"AMETHYST","day",59,170,NA,NA,"receiver"
2024-06-11,2024-06-11 07:01:57,"AMETHYST","day",60,132,NA,NA,"receiver"
2024-06-11,2024-06-11 07:02:00,"AMETHYST","day",14,117,NA,NA,"receiver"
2024-06-11,2024-06-11 07:02:07,"AMETHYST","day",56,118,NA,NA,"receiver"
2024-06-11,2024-06-11 07:02:09,"AMETHYST","day",59,169,NA,NA,"receiver"
2024-06-11,2024-06-11 07:02:17,"AMETHYST","day",60,128,NA,NA,"receiver"
2024-06-11,2024-06-11 07:02:23,"AMETHYST","day",19,117,NA,NA,"receiver"
2024-06-11,2024-06-11 07:02:27,"AMETHYST","day",56,110,NA,NA,"receiver"
2024-06-11,2024-06-11 07:02:29,"AMETHYST","day",59,161,NA,NA,"receiver"
2024-06-11,2024-06-11 07:02:36,"AMETHYST","day",60,110,NA,NA,"receiver"
2024-06-11,2024-06-11 07:02:42,"AMETHYST","day",19,116,NA,NA,"receiver"
2024-06-11,2024-06-11 07:02:49,"AMETHYST","day",59,167,NA,NA,"receiver"
2024-06-11,2024-06-11 07:03:07,"AMETHYST","day",56,117,NA,NA,"receiver"
2024-06-11,2024-06-11 07:03:09,"AMETHYST","day",59,147,NA,NA,"receiver"
2024-06-11,2024-06-11 07:03:16,"AMETHYST","day",60,124,NA,NA,"receiver"
2024-06-11,2024-06-11 07:03:21,"AMETHYST","day",14,110,NA,NA,"receiver"
2024-06-11,2024-06-11 07:03:23,"AMETHYST","day",19,125,NA,NA,"receiver"
2024-06-11,2024-06-11 07:03:29,"AMETHYST","day",59,174,NA,NA,"receiver"
2024-06-11,2024-06-11 07:03:43,"AMETHYST","day",19,141,NA,NA,"receiver"
2024-06-11,2024-06-11 07:03:49,"AMETHYST","day",20,120,NA,NA,"receiver"
2024-06-11,2024-06-11 07:03:49,"AMETHYST","day",59,190,NA,NA,"receiver"
2024-06-11,2024-06-11 07:04:03,"AMETHYST","day",19,140,NA,NA,"receiver"
2024-06-11,2024-06-11 07:04:07,"AMETHYST","day",59,143,NA,NA,"receiver"
2024-06-11,2024-06-11 07:04:22,"AMETHYST","day",19,131,NA,NA,"receiver"
2024-06-11,2024-06-11 07:04:27,"AMETHYST","day",20,118,NA,NA,"receiver"
2024-06-11,2024-06-11 07:04:27,"AMETHYST","day",59,158,NA,NA,"receiver"
2024-06-11,2024-06-11 07:04:36,"AMETHYST","day",60,127,NA,NA,"receiver"
2024-06-11,2024-06-11 07:04:42,"AMETHYST","day",19,138,NA,NA,"receiver"
2024-06-11,2024-06-11 07:04:47,"AMETHYST","day",20,113,NA,NA,"receiver"
2024-06-11,2024-06-11 07:04:47,"AMETHYST","day",59,150,NA,NA,"receiver"
2024-06-11,2024-06-11 07:05:08,"AMETHYST","day",59,148,NA,NA,"receiver"
2024-06-11,2024-06-11 07:05:16,"AMETHYST","day",60,133,NA,NA,"receiver"
2024-06-11,2024-06-11 07:05:22,"AMETHYST","day",19,140,NA,NA,"receiver"
2024-06-11,2024-06-11 07:05:27,"AMETHYST","day",20,119,NA,NA,"receiver"
2024-06-11,2024-06-11 07:05:27,"AMETHYST","day",59,158,NA,NA,"receiver"
2024-06-11,2024-06-11 07:05:36,"AMETHYST","day",60,122,NA,NA,"receiver"
2024-06-11,2024-06-11 07:05:42,"AMETHYST","day",19,115,NA,NA,"receiver"
2024-06-11,2024-06-11 07:05:47,"AMETHYST","day",59,146,NA,NA,"receiver"
2024-06-11,2024-06-11 07:05:56,"AMETHYST","day",60,123,NA,NA,"receiver"
2024-06-11,2024-06-11 07:06:02,"AMETHYST","day",19,116,NA,NA,"receiver"
2024-06-11,2024-06-11 07:06:08,"AMETHYST","day",59,129,NA,NA,"receiver"
2024-06-11,2024-06-11 07:06:16,"AMETHYST","day",60,146,NA,NA,"receiver"
2024-06-11,2024-06-11 07:06:21,"AMETHYST","day",19,139,NA,NA,"receiver"
2024-06-11,2024-06-11 07:06:28,"AMETHYST","day",59,156,NA,NA,"receiver"
2024-06-11,2024-06-11 07:06:36,"AMETHYST","day",60,136,NA,NA,"receiver"
2024-06-11,2024-06-11 07:06:41,"AMETHYST","day",19,131,NA,NA,"receiver"
2024-06-11,2024-06-11 07:06:48,"AMETHYST","day",59,163,NA,NA,"receiver"
2024-06-11,2024-06-11 07:06:55,"AMETHYST","day",60,128,NA,NA,"receiver"
2024-06-11,2024-06-11 07:07:01,"AMETHYST","day",19,132,NA,NA,"receiver"
2024-06-11,2024-06-11 07:07:07,"AMETHYST","day",12,115,NA,NA,"receiver"
2024-06-11,2024-06-11 07:07:08,"AMETHYST","day",20,120,NA,NA,"receiver"
