"river","ftDischarge_cfs","ftTime_EST","shift"
"AMETHYST",1.69,"2024-06-18","day"
"BUFFAM",0.49,"2024-06-18 16:48:45","day"
"DICKEY",1.17,"2024-06-17 12:35:22","day"
"DRY UPPER",0.6,"2024-06-19 12:36:08","day"
"HARRIS",1.2,"2024-06-18 14:57:52","day"
"UNDERHILL",0.57,"2024-06-20 14:32:38","day"
"AMETHYST",2.05,"2024-06-19","night"
"BUFFAM",0.6,"2024-06-19 02:07:27","night"
"DICKEY",1.49,"2024-06-18 02:35:29","night"
"DRY UPPER",0.3,"2024-06-20 00:32:19","night"
"HARRIS",1.45,"2024-06-19 01:13:24","night"
"UNDERHILL",1.59,"2024-06-21 00:36:10","night"
