"river","ftDischarge_cfs","ftTime_EST","shift"
"AMETHYST",4.03,"2024-06-11","day"
"BUFFAM",1.49,"2024-06-11 08:32:26","day"
"DRY UPPER",0.67,"2024-06-14 08:57:28","day"
"HARRIS",2.54,"2024-06-11 09:42:47","day"
"UNDERHILL",0.86,"2024-06-12 09:04:18","day"
"AMETHYST",2.75,"2024-06-11","night"
"BUFFAM",0.74,"2024-06-11 20:26:53","night"
"DICKEY",1.35,"2024-06-13 18:59:00","night"
"DRY UPPER",0.65,"2024-06-14 18:21:39","night"
"HARRIS",2.01,"2024-06-11 18:54:41","night"
"UNDERHILL",0.29,"2024-06-12 20:19:39","night"
