"river","ftDischarge_cfs","ftTime_EST","shift"
"AMETHYST",17.01,"2024-08-20","day"
"AMETHYST",4.69,"2024-08-23","day"
"BUFFAM",3.53,"2024-08-20 11:41:46","day"
"BUFFAM",0.82,"2024-08-23 13:38:55","day"
"DRY UPPER",3.64,"2024-08-22 09:12:22","day"
"HARRIS",13.48,"2024-08-20 09:56:27","day"
"HARRIS",3.87,"2024-08-23 13:17:11","day"
"UNDERHILL",1.21,"2024-08-21 09:25:52","day"
