"river","ftDischarge_cfs","ftTime_EST","shift"
"AMETHYST",8.01,"2024-08-08","day"
"BUFFAM",2.22,"2024-08-08 08:25:54","day"
"DICKEY",5.09,"2024-08-09 10:56:13","day"
"DRY UPPER",8.69,"2024-08-07 08:20:43","day"
"HARRIS",5.79,"2024-08-08 09:31:11","day"
"UNDERHILL",1.24,"2024-08-06 08:06:36","day"
"AMETHYST",-6.86,"2024-08-08","night"
"BUFFAM",-2.36,"2024-08-08 17:48:04","night"
"DRY UPPER",-3.21,"2024-08-07 20:19:58","night"
"HARRIS",-4.5,"2024-08-08 19:45:08","night"
"UNDERHILL",-1.14,"2024-08-06 17:56:47","night"
