"river","ftDischarge_cfs","ftTime_EST","shift"
"AMETHYST",2.51,NA,"day"
"BUFFAM",0.64,"2024-07-02 04:11:20","day"
"DICKEY",1.77,"2024-07-01 04:39:46","day"
"DRY UPPER",0.33,"2024-06-30 05:23:29","day"
"HARRIS",1.87,"2024-07-02 05:19:35","day"
"UNDERHILL",0.69,"2024-07-03 04:49:36","day"
"AMETHYST",2.05,NA,"night"
"BUFFAM",0.46,"2024-07-02 17:28:34","night"
"DICKEY",1.34,"2024-07-01 18:42:29","night"
"DRY UPPER",0.25,"2024-06-30 14:19:58","night"
"HARRIS",1.59,"2024-07-02 16:38:08","night"
