"river","ftDischarge_cfs","ftTime_EST","shift"
"AMETHYST",4.26,NA,"day"
"BUFFAM",0.76,"2024-07-25 12:08:40","day"
"DICKEY",1.79,"2024-07-24 10:50:19","day"
"DRY UPPER",0.13,"2024-07-23 08:27:20","day"
"HARRIS",3.5,"2024-07-25 11:27:32","day"
"UNDERHILL",0.78,"2024-07-26 08:12:57","day"
"AMETHYST",4.49,NA,"night"
"BUFFAM",0.57,"2024-07-25 18:12:05","night"
"DICKEY",1.65,"2024-07-24 18:21:54","night"
"DRY UPPER",0.16,"2024-07-23 18:09:40","night"
"HARRIS",3.92,"2024-07-25 19:16:54","night"
"UNDERHILL",0.6,"2024-07-26 18:03:17","night"
