"trackedTime_EST","radioID","has_matching_receiver"
2024-06-27 05:26:00,"43",TRUE
2024-06-27 05:30:00,"40",TRUE
2024-06-27 05:35:00,"34",TRUE
2024-06-27 06:04:00,"45",TRUE
2024-06-27 06:06:00,"27",TRUE
2024-06-27 06:08:00,"44",TRUE
2024-06-27 06:21:00,"35",TRUE
2024-06-27 06:35:00,"36",TRUE
2024-06-27 08:15:00,"41",TRUE
2024-06-27 08:22:00,"43",TRUE
2024-06-27 08:27:00,"40",TRUE
2024-06-27 08:35:00,"34",TRUE
2024-06-27 08:41:00,"33",TRUE
2024-06-27 08:47:00,"45",TRUE
2024-06-27 08:50:00,"27",TRUE
2024-06-27 08:52:00,"44",TRUE
2024-06-27 09:03:00,"35",TRUE
2024-06-27 09:14:00,"36",TRUE
2024-06-27 09:46:00,"41",TRUE
2024-06-27 09:49:00,"43",TRUE
2024-06-27 09:52:00,"40",TRUE
2024-06-27 10:02:00,"45",TRUE
2024-06-27 10:03:00,"27",TRUE
2024-06-27 10:05:00,"44",TRUE
2024-06-27 10:13:00,"35",TRUE
2024-06-27 10:23:00,"36",TRUE
2024-06-27 17:42:00,"41",TRUE
2024-06-27 17:44:00,"43",TRUE
2024-06-27 17:49:00,"40",TRUE
2024-06-27 17:55:00,"34",TRUE
2024-06-27 17:56:00,"33",TRUE
2024-06-27 18:05:00,"36",TRUE
2024-06-27 18:14:00,"45",TRUE
2024-06-27 18:15:00,"27",TRUE
2024-06-27 18:19:00,"44",TRUE
2024-06-27 18:40:00,"35",TRUE
2024-06-27 19:25:00,"41",TRUE
2024-06-27 19:30:00,"43",TRUE
2024-06-27 19:35:00,"40",TRUE
2024-06-27 19:39:00,"33",TRUE
2024-06-27 19:40:00,"34",TRUE
2024-06-27 19:45:00,"36",TRUE
2024-06-27 19:56:00,"27",TRUE
2024-06-27 19:56:00,"45",TRUE
2024-06-27 20:00:00,"44",TRUE
2024-06-27 20:20:00,"35",TRUE
2024-06-27 21:25:00,"41",TRUE
2024-06-27 21:29:00,"43",TRUE
2024-06-27 21:36:00,"40",TRUE
2024-06-27 21:46:00,"34",TRUE
2024-06-27 21:48:00,"33",TRUE
2024-06-27 21:54:00,"36",TRUE
2024-06-27 22:04:00,"45",TRUE
2024-06-27 22:06:00,"27",TRUE
2024-06-27 22:12:00,"44",TRUE
2024-06-27 22:28:00,"35",TRUE
2024-06-28 06:49:00,"46",TRUE
2024-06-28 07:18:00,"31",TRUE
2024-06-28 07:25:00,"28",TRUE
2024-06-28 07:28:00,"26",TRUE
2024-06-28 07:30:00,"37",TRUE
2024-06-28 07:38:00,"38",TRUE
2024-06-28 09:39:00,"31",TRUE
2024-06-28 09:42:00,"28",TRUE
2024-06-28 09:48:00,"26",TRUE
2024-06-28 09:53:00,"37",TRUE
2024-06-28 10:00:00,"38",TRUE
2024-06-28 17:40:00,"31",TRUE
2024-06-28 17:46:00,"28",TRUE
2024-06-28 17:51:00,"26",TRUE
2024-06-28 17:55:00,"37",TRUE
2024-06-28 18:08:00,"32",TRUE
2024-06-28 18:16:00,"38",TRUE
2024-06-28 18:24:00,"31",TRUE
2024-06-28 18:27:00,"28",TRUE
2024-06-28 18:36:00,"32",TRUE
2024-06-28 18:37:00,"26",TRUE
2024-06-28 18:39:00,"37",TRUE
2024-06-28 18:42:00,"38",TRUE
2024-06-28 19:18:00,"31",TRUE
2024-06-28 19:22:00,"28",TRUE
2024-06-28 19:27:00,"32",TRUE
