"date","trackedTime_EST","river","shift","radioID","power","status","habitat","habitatExtra","position","substrate","substrateExtra","shade","lon","lat","fishNotes","source"
"2024-06-30","2024-06-30 04:39:00","DRY UPPER","day",22,NA,"","Pool","Root_bundle","Left",NA,"Rock,Mud","Night",-72.50456817,42.66768767,"","iPad"
"2024-06-30","2024-06-30 04:42:00","DRY UPPER","day",16,NA,"","Pool","Woody_debris","Right",NA,"Mud","Fully shaded",-72.5044825,42.66760383,"","iPad"
"2024-06-30","2024-06-30 04:43:00","DRY UPPER","day",55,NA,"","Pool","Woody_debris","Right",NA,"Mud","Fully shaded",-72.50452883,42.667623,"","iPad"
"2024-06-30","2024-06-30 04:50:00","DRY UPPER","day",21,NA,"","Pool","Woody_debris,Undercut_bank","Right",NA,"Mud","Mostly shaded",-72.50514,42.66698433,"","iPad"
"2024-06-30","2024-06-30 04:51:00","DRY UPPER","day",25,NA,"","Pool","Undercut_bank,Woody_debris","Right",NA,"Mud","Fully shaded",-72.50508633,42.66699017,"","iPad"
"2024-06-30","2024-06-30 04:51:00","DRY UPPER","day",24,NA,"","Pool","Undercut_bank,Woody_debris","Right",NA,"Mud","Fully shaded",-72.5050785,42.66702033,"","iPad"
"2024-06-30","2024-06-30 04:53:00","DRY UPPER","day",54,NA,"","Pool","Root_bundle,Woody_debris","Left",NA,"Mud","Mostly shaded",-72.50484983,42.66692683,"","iPad"
"2024-06-30","2024-06-30 04:55:00","DRY UPPER","day",48,NA,"","Pool","","Center",NA,"Rock,Sand","Mostly shaded",-72.5047925,42.66679967,"","iPad"
"2024-06-30","2024-06-30 05:00:00","DRY UPPER","day",42,NA,"","Pool","Woody_debris","Right",NA,"Mud,Rock","Mostly shaded",-72.5040745,42.6659865,"","iPad"
"2024-06-30","2024-06-30 05:06:00","DRY UPPER","day",49,NA,"","Pool","Woody_debris","Right",NA,"Mud","Fully shaded",-72.50403033,42.66596467,"","iPad"
"2024-06-30","2024-06-30 05:52:00","DRY UPPER","day",53,81,"","","","",NA,"","",-72.50363483,42.66490733,"Went super far down following the signal then lost it and couldn’t find it again.","iPad"
"2024-06-30","2024-06-30 06:00:00","DRY UPPER","day",42,NA,"","Pool","Woody_debris","Right",NA,"Mud","Mostly shaded",-72.50410967,42.66616317,"","iPad"
"2024-06-30","2024-06-30 06:02:00","DRY UPPER","day",49,NA,"","Pool","Woody_debris","Right",NA,"Mud","Mostly shaded",-72.50405233,42.66624517,"","iPad"
"2024-06-30","2024-06-30 06:09:00","DRY UPPER","day",48,NA,"","Pool","Woody_debris","Center",NA,"Rock","Fully shaded",-72.504946,42.6668315,"","iPad"
