"date","trackedTime_EST","river","shift","radioID","power","status","habitat","habitatExtra","position","substrate","substrateExtra","shade","lon","lat","fishNotes","source","ftDischarge_cfs","ftTime_EST"
"2024-07-23","2024-07-23 18:20:00","DRY UPPER","night",39.1,NA,"","Pool","Woody_debris","Center",NA,"Rock","Fully shaded",-72.506961,42.66809983,"","iPad",0.16,"2024-07-23 18:09:40"
"2024-07-23","2024-07-23 20:22:00","DRY UPPER","night",21,NA,"","Pool","","Center",NA,"Mud,Rock","Night",-72.504319,42.66192967,"","iPad",0.16,"2024-07-23 18:09:40"
"2024-07-23","2024-07-23 21:51:00","DRY UPPER","night",39.1,NA,"","Pool","Woody_debris,Undercut_bank","Right",NA,"Mud","Night",-72.50672133,42.6680295,"","iPad",0.16,"2024-07-23 18:09:40"
"2024-07-23","2024-07-23 21:56:00","DRY UPPER","night",29.1,NA,"","Run","Woody_debris","Center",NA,"Sand,Rock","Night",-72.5059175,42.66847633,"","iPad",0.16,"2024-07-23 18:09:40"
"2024-07-23","2024-07-23 22:01:00","DRY UPPER","night",30.1,NA,"","Pool","Woody_debris","Center",NA,"Mud","Night",-72.50499,42.66823333,"","iPad",0.16,"2024-07-23 18:09:40"
"2024-07-23","2024-07-23 22:16:00","DRY UPPER","night",16,NA,"","Pool","Woody_debris,Undercut_bank","Right",NA,"Mud","Night",-72.5045785,42.6676205,"","iPad",0.16,"2024-07-23 18:09:40"
"2024-07-23","2024-07-23 22:23:00","DRY UPPER","night",30.1,NA,"","Pool","Root_bundle","Left",NA,"Rock,Mud","Night",-72.50503467,42.66830017,"","iPad",0.16,"2024-07-23 18:09:40"
"2024-07-23","2024-07-23 22:27:00","DRY UPPER","night",29.1,NA,"","Run","Woody_debris","Center",NA,"Rock,Sand","Night",-72.50605083,42.66834267,"","iPad",0.16,"2024-07-23 18:09:40"
"2024-07-23","2024-07-23 22:32:00","DRY UPPER","night",39.1,NA,"","Run","Root_bundle,Undercut_bank","Right",NA,"Rock,Mud","Night",-72.5068475,42.66819033,"","iPad",0.16,"2024-07-23 18:09:40"
"2024-07-24","2024-07-24 07:24:00","DICKEY","day",31,NA,"","Riffle","","Right",NA,"Rock","Fully shaded",-72.37107117,42.4438855,"","iPad",1.79,"2024-07-24 10:50:19"
