"trackedTime_EST","river","shift","tagID","power","habitat","habitatExtra","position","substrate","substrateExtra","shade","lon","lat","fishNotes","source","totalDischarge","flowTime_EST"
"2024-07-16 03:49:00","DICKEY","day",31,NA,"Riffle","","Center",NA,"Rock","Night",-72.3712083333333,42.4440778333333,"","iPad",1.17,"2024-07-16 05:02:37"
"2024-07-16 03:58:00","DICKEY","day",28,NA,"Pool","","Center",NA,"Sand,Mud","Night",-72.3705641666667,42.4436396666667,"","iPad",1.17,"2024-07-16 05:02:37"
"2024-07-16 04:04:00","DICKEY","day",26,NA,"Riffle","","Center",NA,"Rock","Night",-72.3702953333333,42.4434478333333,"","iPad",1.17,"2024-07-16 05:02:37"
"2024-07-16 04:05:00","DICKEY","day",37,NA,"Riffle","","Center",NA,"Rock","Fully shaded",-72.370182,42.4434178333333,"","iPad",1.17,"2024-07-16 05:02:37"
"2024-07-16 05:17:00","DICKEY","day",31,NA,"Riffle","","Center",NA,"Rock,Sand","Fully shaded",-72.3713191666667,42.4439261666667,"","iPad",1.17,"2024-07-16 05:02:37"
"2024-07-16 05:21:00","DICKEY","day",28,NA,"Pool","","Center",NA,"Rock,Pebble,Sand","Fully shaded",-72.3705911666667,42.4435701666667,"","iPad",1.17,"2024-07-16 05:02:37"
"2024-07-16 05:25:00","DICKEY","day",26,NA,"Run","","Right",NA,"Rock","Fully shaded",-72.3702938333333,42.443569,"","iPad",1.17,"2024-07-16 05:02:37"
"2024-07-16 05:26:00","DICKEY","day",37,NA,"Run","","Center",NA,"Rock","Fully shaded",-72.3702695,42.443581,"","iPad",1.17,"2024-07-16 05:02:37"
"2024-07-16 05:56:00","DICKEY","day",38,NA,"Run","Root_bundle","Right",NA,"Rock,Sand","Fully shaded",-72.3734116666667,42.4444596666667,"","iPad",1.17,"2024-07-16 05:02:37"
"2024-07-16 06:34:00","DICKEY","day",32,NA,"Run","","Left",NA,"Pebble,Granule,Sand","Lightly shaded",-72.3733933333333,42.4439893333333,"","iPad",1.17,"2024-07-16 05:02:37"
"2024-07-16 06:45:00","DICKEY","day",38,NA,"Run","","Center",NA,"Pebble","Fully shaded",-72.3733698333333,42.44442,"","iPad",1.17,"2024-07-16 05:02:37"
"2024-07-16 06:58:00","DICKEY","day",31,NA,"Riffle","","Right",NA,"Rock","Mostly shaded",-72.3711106666667,42.4439998333333,"","iPad",1.17,"2024-07-16 05:02:37"
"2024-07-16 07:01:00","DICKEY","day",28,NA,"Pool","","",NA,"Rock,Pebble,Sand","",-72.3705273333333,42.4436538333333,"","iPad",1.17,"2024-07-16 05:02:37"
"2024-07-16 07:03:00","DICKEY","day",26,NA,"Riffle","","Center",NA,"Rock","Mostly shaded",-72.3703661666667,42.4435543333333,"","iPad",1.17,"2024-07-16 05:02:37"
"2024-07-16 07:05:00","DICKEY","day",37,NA,"Riffle","","Center",NA,"Rock,Pebble","Mostly shaded",-72.370253,42.4435183333333,"","iPad",1.17,"2024-07-16 05:02:37"
"2024-07-16 08:22:00","DICKEY","day",38,NA,"Run","","Right",NA,"Rock","Mostly shaded",-72.3734206666667,42.4443373333333,"","iPad",1.17,"2024-07-16 05:02:37"
"2024-07-16 08:29:00","DICKEY","day",32,NA,"Pool","","Center",NA,"Rock,Sand,Pebble,Granule","Fully sunny",-72.3734171666667,42.4440241666667,"","iPad",1.17,"2024-07-16 05:02:37"
"2024-07-16 08:44:00","DICKEY","day",31,NA,"Riffle","","Right",NA,"Rock","Fully shaded",-72.3712305,42.443949,"","iPad",1.17,"2024-07-16 05:02:37"
"2024-07-16 08:47:00","DICKEY","day",28,NA,"Pool","","Center",NA,"Rock,Pebble","Mostly shaded",-72.3706298333333,42.4437616666667,"","iPad",1.17,"2024-07-16 05:02:37"
"2024-07-16 08:49:00","DICKEY","day",26,NA,"Run","","Center",NA,"Rock,Pebble","Mostly shaded",-72.3703635,42.4436478333333,"","iPad",1.17,"2024-07-16 05:02:37"
"2024-07-16 08:49:00","DICKEY","day",37,NA,"Run","","Center",NA,"Boulder,Rock","Mostly shaded",-72.370287,42.4435653333333,"","iPad",1.17,"2024-07-16 05:02:37"
"2024-07-16 13:13:00","DICKEY","night",31,NA,"Run","","Right",NA,"Rock","Mostly shaded",-72.3713838333333,42.4441271666667,"","iPad",-1.58,"2024-07-16 14:29:54"
"2024-07-16 13:17:00","DICKEY","night",28,NA,"Pool","Woody_debris","Right",NA,"Rock,Pebble","Lightly shaded",-72.3703773333333,42.443656,"","iPad",-1.58,"2024-07-16 14:29:54"
"2024-07-16 13:20:00","DICKEY","night",37,NA,"Pool","","Center",NA,"Rock","Fully shaded",-72.370396,42.4436118333333,"","iPad",-1.58,"2024-07-16 14:29:54"
"2024-07-16 13:48:00","DICKEY","night",26,NA,"Run","","Center",NA,"Rock","Lightly shaded",-72.3703706666667,42.4435081666667,"","iPad",-1.58,"2024-07-16 14:29:54"
"2024-07-16 14:00:00","DICKEY","night",38,NA,"Pool","","Center",NA,"Rock,Pebble","Mostly shaded",-72.3733926666667,42.4444983333333,"","iPad",-1.58,"2024-07-16 14:29:54"
"2024-07-16 14:15:00","DICKEY","night",32,NA,"Pool","","Center",NA,"Pebble,Rock","Mostly shaded",-72.3734371666667,42.4439691666667,"","iPad",-1.58,"2024-07-16 14:29:54"
"2024-07-16 14:27:00","DICKEY","night",31,NA,"Run","","Center",NA,"Rock","Mostly shaded",-72.3711683333333,42.4440083333333,"","iPad",-1.58,"2024-07-16 14:29:54"
"2024-07-16 14:31:00","DICKEY","night",28,NA,"Pool","","Center",NA,"Rock","Mostly shaded",-72.3704935,42.4436633333333,"","iPad",-1.58,"2024-07-16 14:29:54"
"2024-07-16 14:33:00","DICKEY","night",26,NA,"Run","","Right",NA,"Rock","Lightly shaded",-72.3704095,42.4436326666667,"","iPad",-1.58,"2024-07-16 14:29:54"
"2024-07-16 14:33:00","DICKEY","night",37,NA,"Run","","Center",NA,"Rock","Mostly shaded",-72.3703806666667,42.443525,"","iPad",-1.58,"2024-07-16 14:29:54"
